Date,Open,High,Low,Close,Volume
2010-07-18,0,0.1,0.1,0.1,80
2010-07-19,0.1,0.1,0.1,0.1,570
2010-07-20,0.1,0.1,0.1,0.1,260
2010-07-21,0.1,0.1,0.1,0.1,580
2010-07-22,0.1,0.1,0.1,0.1,2160
2010-07-23,0.1,0.1,0.1,0.1,2400
2010-07-24,0.1,0.1,0.1,0.1,500
2010-07-25,0.1,0.1,0.1,0.1,1550
2010-07-26,0.1,0.1,0.1,0.1,880
2010-07-27,0.1,0.1,0.1,0.1,3370
2010-07-28,0.1,0.1,0.1,0.1,4390
2010-07-29,0.1,0.1,0.1,0.1,8060
2010-07-30,0.1,0.1,0.1,0.1,3020
2010-07-31,0.1,0.1,0.1,0.1,4020
2010-08-01,0.1,0.1,0.1,0.1,2600
2010-08-02,0.1,0.1,0.1,0.1,3600
2010-08-03,0.1,0.1,0.1,0.1,9820
2010-08-04,0.1,0.1,0.1,0.1,3490
2010-08-05,0.1,0.1,0.1,0.1,5030
2010-08-06,0.1,0.1,0.1,0.1,1400
2010-08-07,0.1,0.1,0.1,0.1,2620
2010-08-08,0.1,0.1,0.1,0.1,2200
2010-08-09,0.1,0.1,0.1,0.1,13630
2010-08-10,0.1,0.1,0.1,0.1,1310
2010-08-11,0.1,0.1,0.1,0.1,14060
2010-08-12,0.1,0.1,0.1,0.1,2060
2010-08-13,0.1,0.1,0.1,0.1,3590
2010-08-14,0.1,0.1,0.1,0.1,4400
2010-08-15,0.1,0.1,0.1,0.1,4460
2010-08-16,0.1,0.1,0.1,0.1,10730
2010-08-17,0.1,0.1,0.1,0.1,13190
2010-08-18,0.1,0.1,0.1,0.1,2950
2010-08-19,0.1,0.1,0.1,0.1,740
2010-08-20,0.1,0.1,0.1,0.1,4200
2010-08-21,0.1,0.1,0.1,0.1,10440
2010-08-22,0.1,0.1,0.1,0.1,18650
2010-08-23,0.1,0.1,0.1,0.1,4300
2010-08-24,0.1,0.1,0.1,0.1,6710
2010-08-25,0.1,0.1,0.1,0.1,4230
2010-08-26,0.1,0.1,0.1,0.1,3870
2010-08-27,0.1,0.1,0.1,0.1,9010
2010-08-28,0.1,0.1,0.1,0.1,6170
2010-08-29,0.1,0.1,0.1,0.1,3170
2010-08-30,0.1,0.1,0,0.1,34190
2010-08-31,0.1,0.1,0.1,0.1,14890
2010-09-01,0.1,0.1,0.1,0.1,7170
2010-09-02,0.1,0.1,0.1,0.1,8150
2010-09-03,0.1,0.1,0.1,0.1,890
2010-09-04,0.1,0.1,0.1,0.1,3300
2010-09-05,0.1,0.1,0.1,0.1,8460
2010-09-06,0.1,0.1,0.1,0.1,910
2010-09-07,0.1,0.1,0.1,0.1,3460
2010-09-08,0.1,0.1,0.1,0.1,2350
2010-09-09,0.1,0.1,0.1,0.1,1730
2010-09-10,0.1,0.1,0.1,0.1,4940
2010-09-11,0.1,0.1,0.1,0.1,7750
2010-09-12,0.1,0.1,0.1,0.1,790
2010-09-13,0.1,0.1,0.1,0.1,10080
2010-09-14,0.1,0.2,0.1,0.1,14020
2010-09-15,0.1,0.1,0.1,0.1,3650
2010-09-16,0.1,0.1,0.1,0.1,730
2010-09-17,0.1,0.1,0.1,0.1,7260
2010-09-18,0.1,0.1,0.1,0.1,7090
2010-09-19,0.1,0.1,0.1,0.1,12850
2010-09-20,0.1,0.1,0.1,0.1,14310
2010-09-21,0.1,0.1,0.1,0.1,5740
2010-09-22,0.1,0.1,0.1,0.1,11560
2010-09-23,0.1,0.1,0.1,0.1,15510
2010-09-24,0.1,0.1,0.1,0.1,680
2010-09-25,0.1,0.1,0.1,0.1,2150
2010-09-26,0.1,0.1,0.1,0.1,12060
2010-09-27,0.1,0.1,0.1,0.1,10750
2010-09-28,0.1,0.1,0.1,0.1,7090
2010-09-29,0.1,0.1,0.1,0.1,23480
2010-09-30,0.1,0.1,0.1,0.1,7920
2010-10-01,0.1,0.1,0.1,0.1,1720
2010-10-02,0.1,0.1,0.1,0.1,13060
2010-10-03,0.1,0.1,0.1,0.1,7170
2010-10-04,0.1,0.1,0.1,0.1,34000
2010-10-05,0.1,0.1,0.1,0.1,27530
2010-10-06,0.1,0.1,0.1,0.1,33430
2010-10-07,0.1,0.1,0.1,0.1,43690
2010-10-08,0.1,0.1,0,0.1,139290
2010-10-09,0.1,0.1,0.1,0.1,187850
2010-10-10,0.1,0.1,0.1,0.1,50680
2010-10-11,0.1,0.1,0.1,0.1,14090
2010-10-12,0.1,0.1,0.1,0.1,25660
2010-10-13,0.1,0.1,0.1,0.1,47560
